Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Edad,Genero,Nacionalidad,Provincia,Distrito,
ASALTO,ARMA BLANCA,2021-04-22,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO,
ASALTO,ARMA BLANCA,2021-04-24,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,CURRIDABAT,
ASALTO,ARMA BLANCA,2021-04-23,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-04-24,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2021-04-20,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-04-26,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2021-04-24,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2021-04-24,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SANTA ANA,
ASALTO,ARMA BLANCA,2021-04-28,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Desconocido,MUJER,COSTA RICA,ALAJUELA,SAN RAMON,
ASALTO,ARMA BLANCA,2021-03-25,03:00:00 - 05:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2021-05-04,15:00:00 - 17:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,MUJER,COSTA RICA,ALAJUELA,GUATUSO,
